esp1id,RSSI1,esp2id,RSSI2,inOrNot,Passangercount
2222,-16,1111,-64,yes,1
2222,-16,1111,-60,yes,1
2222,-16,1111,-56,yes,1
2222,-16,1111,-57,yes,1
2222,-16,1111,-58,yes,1
2222,-16,1111,-57,yes,1
2222,-16,1111,-60,yes,1
2222,-16,1111,-60,yes,1
2222,-16,1111,-57,yes,1
2222,-16,1111,-60,yes,1
2222,-16,1111,-58,yes,1
2222,-16,1111,-61,yes,1
2222,-15,1111,-59,yes,1
2222,-16,1111,-59,yes,1
2222,-15,1111,-60,yes,1
2222,-16,1111,-60,yes,1
2222,-16,1111,-62,yes,1
2222,-16,1111,-61,yes,1
2222,-16,1111,-56,yes,1
2222,-16,1111,-59,yes,1
2222,-16,1111,-60,yes,1
2222,-15,1111,-60,yes,1
2222,-16,1111,-57,yes,1
2222,-16,1111,-57,yes,1
2222,-15,1111,-56,yes,1
2222,-16,1111,-58,yes,1
2222,-23,1111,-54,yes,1
2222,-23,1111,-53,yes,1
2222,-41,1111,-51,yes,1
1111,-39,2222,-44,yes,1
2222,-38,1111,-57,yes,1
2222,-40,1111,-54,yes,1
2222,-43,1111,-55,yes,1
2222,-47,1111,-55,yes,1
2222,-33,1111,-53,yes,1
2222,-35,1111,-52,yes,1
2222,-39,1111,-52,yes,1
2222,-38,1111,-52,yes,1
2222,-39,1111,-53,yes,1
2222,-40,1111,-53,yes,1
2222,-39,1111,-52,yes,1
2222,-41,1111,-54,yes,1
2222,-42,1111,-54,yes,1
2222,-41,1111,-53,yes,1
2222,-40,1111,-53,yes,1
2222,-41,1111,-57,yes,1
2222,-41,1111,-53,yes,1
2222,-42,1111,-55,yes,1
2222,-40,1111,-52,yes,1
2222,-40,1111,-52,yes,1
2222,-41,1111,-54,yes,1
2222,-41,1111,-53,yes,1
2222,-40,1111,-53,yes,1
2222,-40,1111,-52,yes,1
2222,-40,1111,-53,yes,1
2222,-40,1111,-53,yes,1
2222,-41,1111,-51,yes,1
2222,-44,1111,-54,yes,1
2222,-37,1111,-52,yes,1
2222,-40,1111,-53,yes,1
2222,-41,1111,-53,yes,1
2222,-40,1111,-52,yes,1
2222,-40,1111,-53,yes,1
2222,-40,1111,-55,yes,1
1111,-30,2222,-51,yes,1
1111,-30,2222,-62,yes,1
1111,-30,2222,-62,yes,1
1111,-30,2222,-58,yes,1
1111,-30,2222,-57,yes,1
1111,-31,2222,-59,yes,1
1111,-30,2222,-60,yes,1
1111,-30,2222,-63,yes,1
1111,-30,2222,-60,yes,1
1111,-30,2222,-58,yes,1
1111,-30,2222,-56,yes,1
1111,-31,2222,-57,yes,1
1111,-31,2222,-57,yes,1
1111,-30,2222,-56,yes,1
1111,-31,2222,-56,yes,1
1111,-30,2222,-57,yes,1
1111,-30,2222,-55,yes,1
1111,-31,2222,-57,yes,1
1111,-30,2222,-55,yes,1
1111,-30,2222,-55,yes,1
1111,-30,2222,-58,yes,1
1111,-30,2222,-56,yes,1
1111,-30,2222,-56,yes,1
1111,-30,2222,-56,yes,1
1111,-31,2222,-58,yes,1
1111,-30,2222,-57,yes,1
1111,-30,2222,-56,yes,1
1111,-31,2222,-57,yes,1
1111,-30,2222,-57,yes,1
1111,-30,2222,-58,yes,1
1111,-30,2222,-57,yes,1
1111,-30,2222,-58,yes,1
1111,-30,2222,-57,yes,1
1111,-30,2222,-56,yes,1
1111,-30,2222,-57,yes,1
1111,-31,2222,-57,yes,1
1111,-30,2222,-56,yes,1
1111,-30,2222,-56,yes,1
1111,-30,2222,-56,yes,1
1111,-30,2222,-57,yes,1
1111,-30,2222,-56,yes,1
1111,-30,2222,-56,yes,1
1111,-30,2222,-56,yes,1
1111,-31,2222,-57,yes,1
1111,-30,2222,-58,yes,1
1111,-30,2222,-57,yes,1
1111,-30,2222,-56,yes,1
1111,-31,2222,-56,yes,1
1111,-31,2222,-57,yes,1
1111,-30,2222,-56,yes,1
1111,-31,2222,-56,yes,1
1111,-31,2222,-58,yes,1
1111,-30,2222,-58,yes,1
1111,-30,2222,-59,yes,1
1111,-30,2222,-59,yes,1
1111,-30,2222,-59,yes,1
1111,-30,2222,-59,yes,1
1111,-30,2222,-59,yes,1
1111,-31,2222,-58,yes,1
1111,-31,2222,-58,yes,1
1111,-30,2222,-58,yes,1
1111,-31,2222,-59,yes,1
1111,-30,2222,-60,yes,1
1111,-30,2222,-59,yes,1
1111,-31,2222,-58,yes,1
